STT,Nhóm,Câu hỏi / Tình huống,Câu trả lời mẫu,Trạng thái duyệt,Ghi chú của sếp
31,Q&A đã trả lời,Làm sao chèn watermark/logo?,"./scripts/watermark.sh input/video.mp4 output/co-logo.mp4 assets/logo.png [position=br]. Vị trí: tl (trái-trên), tr (phải-trên), bl (trái-dưới), br (phải-dưới).",Chờ duyệt,
32,Q&A đã trả lời,Làm sao burn phụ đề vào video?,"./scripts/subtitle-burn.sh input/video.mp4 output/co-sub.mp4 subtitle.srt. Phụ đề sẽ được ghi cứng vào hình.",Chờ duyệt,
33,Q&A đã trả lời,Làm sao xoay video?,"./scripts/rotate.sh input/video.mp4 output/xoay.mp4 <90|180|270>.",Chờ duyệt,
34,Q&A đã trả lời,Làm sao nối nhiều video?,"./scripts/concat.sh output/merged.mp4 input/a.mp4 input/b.mp4 input/c.mp4. Script tự động re-encode nếu các video khác codec.",Chờ duyệt,
35,Q&A chưa có đáp án,Video của tôi quá nặng (>100MB), không up được lên Zalo/Tele?,,Cần duyệt,"Gợi ý: hướng dẫn dùng compress.sh với CRF 30+"
36,Q&A chưa có đáp án,Làm sao xóa watermark có sẵn trong video?,,Cần duyệt,"Lưu ý pháp lý - chỉ dùng cho video mình sở hữu"
37,Q&A chưa có đáp án,Tôi muốn thêm nhạc nền vào video thì làm thế nào?,,Cần duyệt,"Cần viết thêm script add-audio.sh"
38,Q&A chưa có đáp án,Chuyển video dọc (TikTok/Reel) sang video ngang (YouTube)?,,Cần duyệt,"Dùng crop + padding. Cần script riêng?"
39,Q&A chưa có đáp án,Export chất lượng cao nhất (lossless)?,,Cần duyệt,"Có nên dùng CRF 0 hay ProRes?"
40,Q&A chưa có đáp án,Cắt bỏ 1 đoạn ở giữa video (ví dụ giây 30 đến giây 45)?,,Cần duyệt,"Cần script trim-middle.sh (trim + concat)"
41,Q&A chưa có đáp án,Ghép video cũ với audio mới (thay tiếng),,Cần duyệt,"Cần script replace-audio.sh"
42,Q&A chưa có đáp án,Stabilize video bị rung có làm được không?,,Cần duyệt,"FFmpeg vidstabdetect + vidstabtransform"
43,Q&A chưa có đáp án,Color correction / chỉnh màu có làm được không?,,Cần duyệt,"Dùng eq, curves filter của FFmpeg"
44,Q&A chưa có đáp án,Chia 1 video dài thành nhiều đoạn đều nhau,,Cần duyệt,"Cần script split.sh"
45,Q&A chưa có đáp án,Thêm chữ/text overlay lên video,,Cần duyệt,"Dùng drawtext filter"
46,Q&A chưa có đáp án,Xóa phông xanh (green screen/chroma key),,Cần duyệt,"Dùng chromakey filter"
47,Q&A chưa có đáp án,Picture-in-picture (video nhỏ trong video lớn),,Cần duyệt,"Dùng overlay filter, cần script riêng"
48,Q&A chưa có đáp án,Fade in / fade out đầu cuối video,,Cần duyệt,"Dùng fade filter"
49,Q&A chưa có đáp án,Xử lý batch nhiều video cùng lúc,,Cần duyệt,"Cần viết batch wrapper script"
50,Q&A chưa có đáp án,Lỗi codec không đọc được file (.mov, .mkv, .avi)?,,Cần duyệt,"Hướng dẫn convert.sh để đổi sang mp4"
51,Q&A chưa có đáp án,Xử lý video HDR như thế nào?,,Cần duyệt,"HDR cần tone-mapping khi xuống SDR"
52,Q&A chưa có đáp án,Tối ưu video cho Reels/TikTok/Shorts (tỷ lệ 9:16)?,,Cần duyệt,"1080x1920, bitrate 8Mbps, h264"
53,Q&A chưa có đáp án,Thay đổi âm lượng audio trong video,,Cần duyệt,"Dùng volume filter"
54,Q&A chưa có đáp án,Làm timelapse / slow motion chất lượng cao,,Cần duyệt,"Khác speed.sh - cần interpolation"
55,Q&A chưa có đáp án,Loại bỏ tạp âm/noise trong audio,,Cần duyệt,"FFmpeg afftdn hoặc rnnoise"
56,Q&A chưa có đáp án,Thêm hiệu ứng chuyển cảnh khi nối video,,Cần duyệt,"Dùng xfade filter thay vì concat"
57,Q&A chưa có đáp án,Xuất nhiều định dạng cùng lúc (mp4 + webm),,Cần duyệt,"Multi-output trong 1 lần encode"
58,Q&A chưa có đáp án,Watermark động (logo di chuyển / hiện biến mất),,Cần duyệt,"Overlay với enable=between(t,...)"
59,Q&A chưa có đáp án,Ghép phụ đề mềm (softsub) thay vì ghi cứng,,Cần duyệt,"Dùng -c:s mov_text cho mp4"
60,Q&A chưa có đáp án,Làm sao gỡ branch/thay đổi khi lỡ tay?,,Cần duyệt,"git reset, git revert - cần bài riêng"
61,Q&A chưa có đáp án,Làm sao cộng tác với nhiều người trên cùng repo?,,Cần duyệt,"Pull Request flow"
62,Q&A chưa có đáp án,AI có thể edit video giùm được không?,,Cần duyệt,"Câu trả lời: KHÔNG - AI chỉ viết script. Chỉ người dùng chạy được."
